chapter_id,period_label,header,title,line_start,line_end,char_count_non_ws,sentence_count,mean_sentence_len,dialogue_char_ratio
31,0,第31章 撕扇子作千金一笑 因麒麟伏白首双星,撕扇子作千金一笑 因麒麟伏白首双星,932,953,7179,323,21.3096,0.571946
32,0,第32章 诉肺腑心迷活宝玉 含耻辱情烈死金钏,诉肺腑心迷活宝玉 含耻辱情烈死金钏,954,972,5747,229,24.2402,0.619454
33,0,第33章 手足眈眈小动唇舌 不肖种种大承苔挞,手足眈眈小动唇舌 不肖种种大承苔挞,973,989,4884,190,24.7684,0.484234
34,0,第34章 情中情因情感妹妹 错里错以错劝哥哥,情中情因情感妹妹 错里错以错劝哥哥,990,1022,7108,272,25.3088,0.546989
35,0,第35章 白玉钏亲尝莲叶羹 黄金莺巧结梅花络,白玉钏亲尝莲叶羹 黄金莺巧结梅花络,1023,1047,7835,327,23.0092,0.44097
36,0,第36章 绣鸳鸯梦兆绛芸轩 识分定情悟梨香院,绣鸳鸯梦兆绛芸轩 识分定情悟梨香院,1048,1068,6726,252,25.754,0.522599
37,0,第37章 秋爽斋偶结海棠社 蘅芜院夜拟菊花题,秋爽斋偶结海棠社 蘅芜院夜拟菊花题,1069,1131,9202,394,22.5381,0.588785
38,0,第38章 林潇湘魁夺菊花诗 薛蘅芜讽和螃蟹咏,林潇湘魁夺菊花诗 薛蘅芜讽和螃蟹咏,1132,1235,5530,244,22.1066,0.381736
39,0,第39章 村老老是信口开河 情哥哥偏寻根究底,村老老是信口开河 情哥哥偏寻根究底,1236,1249,6442,266,23.2782,0.646538
40,0,第40章 史太君两宴大观园 金鸳鸯三宣牙牌令,史太君两宴大观园 金鸳鸯三宣牙牌令,1250,1281,9345,411,21.837,0.468807
41,0,第41章 贾宝玉品茶栊翠庵 刘老老醉卧怡红院,贾宝玉品茶栊翠庵 刘老老醉卧怡红院,1282,1298,6558,272,23.1544,0.381061
42,0,第42章 蘅芜君兰言解疑癖 潇湘子雅谑补馀音,蘅芜君兰言解疑癖 潇湘子雅谑补馀音,1299,1316,7545,280,26.0321,0.663883
43,0,第43章 闲取乐偶攒金庆寿 不了情暂撮土为香,闲取乐偶攒金庆寿 不了情暂撮土为香,1317,1338,6819,281,23.3523,0.55492
44,0,第44章 变生不测凤姐泼醋 喜出望外平儿理妆,变生不测凤姐泼醋 喜出望外平儿理妆,1339,1359,6566,261,24.2644,0.43908
45,0,第45章 金兰契互剖金兰语 风雨夕闷制风雨词,金兰契互剖金兰语 风雨夕闷制风雨词,1360,1390,7688,315,23.5016,0.680671
46,0,第46章 尴尬人难免尴尬事 鸳鸯女誓绝鸳鸯偶,尴尬人难免尴尬事 鸳鸯女誓绝鸳鸯偶,1391,1415,8160,325,24.2123,0.652819
47,0,第47章 呆霸王调情遭苦打 冷郎君惧祸走他乡,呆霸王调情遭苦打 冷郎君惧祸走他乡,1416,1432,7272,310,22.5194,0.522552
48,0,第48章 滥情人情误思游艺 慕雅女雅集苦吟诗,滥情人情误思游艺 慕雅女雅集苦吟诗,1433,1460,6570,263,24.0494,0.602892
49,0,第49章 琉璃世界白雪红梅 脂粉香娃割腥啖膻,琉璃世界白雪红梅 脂粉香娃割腥啖膻,1461,1487,7229,272,25.6912,0.438097
50,0,第50章 芦雪庭争联即景诗 暖香坞雅制春灯谜,芦雪庭争联即景诗 暖香坞雅制春灯谜,1488,1630,6882,312,22.0513,0.434612
51,0,第51章 薛小妹新编怀古诗 胡庸医乱用虎狼药,薛小妹新编怀古诗 胡庸医乱用虎狼药,1631,1680,6785,276,23.7645,0.548121
52,0,第52章 俏平儿情掩虾须镯 勇晴雯病补孔雀裘,俏平儿情掩虾须镯 勇晴雯病补孔雀裘,1681,1706,8193,334,23.6228,0.560967
53,0,第53章 宁国府除夕祭宗祠 荣国府元宵开夜宴,宁国府除夕祭宗祠 荣国府元宵开夜宴,1707,1741,7496,270,26.8741,0.288687
54,0,第54章 史太君破陈腐旧套 王熙凤效戏彩斑衣,史太君破陈腐旧套 王熙凤效戏彩斑衣,1742,1765,8584,349,23.6648,0.5339
55,0,第55章 辱亲女愚妾争闲气 欺幼主刁奴蓄险心,辱亲女愚妾争闲气 欺幼主刁奴蓄险心,1766,1785,8071,321,24.215,0.606988
56,0,第56章 敏探春兴利除宿弊 贤宝钗小惠全大体,敏探春兴利除宿弊 贤宝钗小惠全大体,1786,1803,8547,315,26.254,0.74026
57,0,第57章 慧紫鹃情辞试莽玉 慈姨妈爱语慰痴颦,慧紫鹃情辞试莽玉 慈姨妈爱语慰痴颦,1804,1831,10667,458,22.3624,0.555733
58,0,第58章 杏子阴假凤泣虚凰 茜纱窗真情揆痴理,杏子阴假凤泣虚凰 茜纱窗真情揆痴理,1832,1852,6369,244,25.1926,0.417491
59,0,第59章 柳叶渚边嗔莺叱燕 绛芸轩里召将飞符,柳叶渚边嗔莺叱燕 绛芸轩里召将飞符,1853,1867,4653,182,24.6484,0.502042
60,0,第60章 茉莉粉替去蔷薇硝 玫瑰露引出茯苓霜,茉莉粉替去蔷薇硝 玫瑰露引出茯苓霜,1868,1890,7463,313,22.9265,0.514538
61,0,第61章 投鼠忌器宝王瞒赃 判冤决狱平儿行权,投鼠忌器宝王瞒赃 判冤决狱平儿行权,1891,1902,6402,252,24.4841,0.672446
62,0,第62章 憨湘云醉眠芍药裀 呆香菱情解石榴裙,憨湘云醉眠芍药裀 呆香菱情解石榴裙,1903,1942,11864,512,22.2539,0.449258
63,0,第63章 寿怡红群芳开夜宴 死金丹独艳理亲丧,寿怡红群芳开夜宴 死金丹独艳理亲丧,1943,1986,9854,424,22.3396,0.451187
64,0,第64章 幽淑女悲题五美吟 浪荡子情遗九龙佩,幽淑女悲题五美吟 浪荡子情遗九龙佩,1987,2028,9697,359,26.1421,0.438796
65,0,第65章 贾二舍偷娶尤二姨 尤三姐思嫁柳二郎,贾二舍偷娶尤二姨 尤三姐思嫁柳二郎,2029,2050,7003,281,24.0178,0.496787
66,0,第66章 情小妹耻情归地府 冷二郎一冷入空门,情小妹耻情归地府 冷二郎一冷入空门,2051,2065,5175,230,21.5652,0.548792
67,0,第67章 见土仪颦卿思故里 闻秘事凤姐讯家童,见土仪颦卿思故里 闻秘事凤姐讯家童,2066,2091,9328,397,22.5668,0.560892
68,0,第68章 苦尤娘赚入大观园 酸凤姐大闹宁国府,苦尤娘赚入大观园 酸凤姐大闹宁国府,2092,2110,8042,308,25.1623,0.595872
